id,data_programada,titulo,tipo,prioridade,justificativa,palavras_chave,produtos_alvo,origem,status
1,2026-08-07,"Atualizar: Dia dos Pais 2026 — 7 Presentes Tech até R$ 300",atualizacao,alta,"O Dia dos Pais é DOMINGO 09/08: revisar preços, conferir os 7 links de afiliado e reforçar o CTA na véspera do pico de busca","presente dia dos pais tech, presentes até 300 reais","produtos do guia",arena,sugerida
2,2026-08-07,"Atualizar: Dia dos Pais 2026 — 5 Presentes Tech Premium",atualizacao,alta,"Mesmo motivo: evento domingo; guia premium tem 4 links de afiliado a conferir antes do fim de semana","presente dia dos pais premium, presente tech pai","produtos do guia",arena,sugerida
3,2026-08-08,"Corrigir links de afiliado do review Redmi Note 15 Pro",atualizacao,alta,"Os 4 links dos produtos alternativos foram INVENTADOS por IA (B0cxyz123, B0motoG85, meli.la/3abcDef, meli.la/4motoG85) e dão erro — link de afiliado quebrado é comissão perdida","redmi note 15 pro, galaxy a55, moto g85","Galaxy A55, Moto G85 5G",arena,sugerida
4,2026-08-10,"Apple TV 4K Vale a Pena em 2026? Review Completo",review,alta,"O artigo Roku vs Fire TV linka para /apple-tv-4k que NÃO EXISTE (404 interno confirmado). Publicar este review conserta o link e completa a série de streaming","apple tv 4k vale a pena, apple tv 4k review","Apple TV 4K, Roku Express 4K, Fire TV Stick 4K",arena,sugerida
5,2026-08-12,"Corrigir links internos do guia Melhores Câmeras de Segurança Wi-Fi 2026",atualizacao,alta,"5 links internos apontam para slugs inexistentes; redirecionar para os artigos já publicados (fire-tv-stick-4k-wifi-6, samsung-galaxy-book4-review-2026, xiaomi-smart-band-10-vale-a-pena, comparativo de soundbars, lg-au801-50-review)","câmeras de segurança wifi","artigos internos",arena,sugerida
6,2026-08-13,"Chromecast Google TV 4K Vale a Pena em 2026? Review",review,alta,"Link interno /chromecast-google-tv-4k/ quebrado (404 confirmado) vindo do artigo Fire TV Stick; completar o trio de sticks de streaming","chromecast google tv 4k, chromecast vale a pena","Chromecast Google TV 4K, Fire TV Stick 4K, Roku",arena,sugerida
7,2026-08-15,"Logitech MK270 Vale a Pena em 2026? Review",review,media,"Link interno /review-logitech-mk270/ quebrado (404 confirmado) vindo do artigo Kit Teclado e Mouse Ultra Slim","logitech mk270, kit teclado mouse logitech","Logitech MK270, MK235, kit genérico slim",arena,sugerida
8,2026-08-17,"Corrigir slug Lenovo IdeaPad 1 no artigo Galaxy Book4",atualizacao,media,"Link aponta para /lenovo-ideapad-1-review-2026 (404); o artigo certo é /lenovo-ideapad-1-i3-1215u-vale-a-pena-em-2026/. Conferir também o link do Acer Aspire 5","lenovo ideapad 1","artigos internos",arena,sugerida
9,2026-08-19,"Carregador Portátil Xiaomi Power Bank 10000mAh Vale a Pena?",review,media,"Link interno /carregador-portatil-xiaomi-2 quebrado (404 confirmado) vindo do guia Dia dos Pais; power bank é long-tail forte","power bank xiaomi, carregador portátil xiaomi","Xiaomi Power Bank 10000mAh, Anker 737",arena,sugerida
10,2026-08-20,"Roku vs Fire TV vs Chromecast vs Apple TV: qual comprar em 2026?",comparativo,media,"Amarra a série de streaming depois dos reviews individuais; ótimo para SEO e para capturar quem está na dúvida final","melhor streaming stick, roku ou fire tv ou chromecast","Roku, Fire TV Stick 4K, Chromecast 4K, Apple TV 4K",arena,sugerida
11,2026-08-24,"Melhor Smartwatch/Smartband até R$ 1.500 em 2026",comparativo,media,"Interliga os reviews de wearables já publicados (Watch7, Galaxy Fit3, Smart Band 10) e captura busca comparativa de ticket médio","melhor smartwatch custo benefício, smartwatch até 1500","Galaxy Watch7, Galaxy Fit3, Smart Band 10",arena,sugerida
12,2026-09-07,"Guia: Presentes Tech para o Dia das Crianças 2026",guia_sazonal,baixa,"Evento em 12/10; publicar ~5 semanas antes para dar tempo de ranquear no Google","presente dia das crianças tech","tablets, fones kids, câmeras instantâneas",arena,sugerida
